ID	CAS	SMILES	Status	LC50 Exp
761	764-13-6	C(C=C(C)C)=C(C)C	Test	4.47
762	768-94-5	NC23(CC1CC(CC(C1)C2)C3)	Test	3.78
763	771-60-8	Fc1c(F)c(F)c(N)c(F)c1(F)	Test	3.69
764	818-72-4	C#CC(O)CCCCC	Test	5.49
765	834-12-8	n1c(nc(nc1NC(C)C)SC)NCC	Test	4.32
766	874-42-0	O=Cc1ccc(cc1Cl)Cl	Test	4.99
767	939-23-1	n1ccc(cc1)c2ccccc2	Test	3.98
768	944-22-9	O(CC)P(CC)(=S)Sc1ccccc1	Test	5.35
769	945-51-7	O=S(c1ccccc1)c2ccccc2	Test	3.37
770	999-61-1	O=C(OCC(O)C)C=C	Test	4.59
771	1204-21-3	O=C(c1cc(OC)ccc1(OC))CBr	Test	6.65
772	1656-48-0	N#CCCOCCC#N	Test	1.52
773	1740-19-8	O=C(O)C2(C)(CCCC3(c1ccc(cc1CCC23)C(C)C)(C))	Test	4.97
774	1825-21-4	O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C	Test	5.64
775	1918-02-1	O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl	Test	3.64
776	1929-73-3	O=C(OCCOCCCC)COc1ccc(cc1Cl)Cl	Test	5.05
777	2008-58-4	O=C(N)c1c(cccc1Cl)Cl	Test	2.61
778	2032-59-9	O=C(Oc1ccc(c(c1)C)N(C)C)NC	Test	5.31
779	2051-60-7	c1ccc(cc1)c2ccccc2Cl	Test	4.67
780	2051-61-8	c1ccc(cc1)c2cccc(c2)Cl	Test	4.38
781	2362-61-0	OC2CCCCC2(c1ccccc1)	Test	3.6
782	2370-63-0	O=C(OCCOCC)C(=C)C	Test	3.76
783	3066-71-5	O=C(OC1CCCCC1)C=C	Test	5.02
784	3206-31-3	O=C(OCC)N(C(=O)OCC)C(=O)OCC	Test	4.24
785	3252-43-5	N#CC(Br)Br	Test	5.56
786	3481-20-7	Nc1c(c(cc(c1Cl)Cl)Cl)Cl	Test	5.93
787	3558-69-8	n1c(cccc1c2ccccc2)c3ccccc3	Test	6.04
788	3689-24-5	O(CC)P(OCC)(OP(OCC)(OCC)=S)=S	Test	6.26
789	4151-50-2	O=S(=O)(NCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	6.45
790	4214-79-3	Oc1ncc(cc1)Cl	Test	2.06
791	4901-51-3	Oc1cc(c(c(c1Cl)Cl)Cl)Cl	Test	5.74
792	5600-21-5	n1c(nc(cc1C)Cl)N	Test	3.01
793	6361-21-3	O=Cc1cc(ccc1Cl)[N+](=O)[O-]	Test	4.67
794	13411-16-0	O=[N+]([O-])c2oc(C=Cc1nc(ccc1)CO)cc2	Test	5.48
795	13952-84-6	NC(C)CC	Test	2.43
796	14064-10-9	O=C(OCC)C(C(=O)OCC)Cl	Test	5.31
797	14548-45-9	O=C(c1cnccc1)c2ccc(cc2)Br	Test	4.11
798	14548-46-0	O=C(c1ccncc1)c2ccccc2	Test	3.25
799	15045-43-9	O1C(C)(C)CCC1(C)C	Test	2.88
800	15128-82-2	O=[N+]([O-])c1ncccc1(O)	Test	2.92
801	16752-77-5	O=C(ON=C(C)SC)NC	Test	4.92
802	16879-02-0	Oc1nc(ccc1)Cl	Test	2.78
803	17754-90-4	O=Cc1ccc(cc1(O))N(CC)CC	Test	4.56
804	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Test	5.18
805	18368-63-3	n1c(cccc1Cl)C	Test	2.74
806	29232-93-7	n1c(OP(OC)(OC)=S)cc(nc1N(CC)CC)C	Test	5.09
807	37680-65-2	c1ccc(c(c1)c2cc(ccc2Cl)Cl)Cl	Test	6.88
808	39905-57-2	O(c1ccc(N)cc1)CCCCCC	Test	4.78
809	41198-08-7	O=P(Oc1ccc(cc1Cl)Br)(OCC)SCCC	Test	6.32
810	51218-45-2	O=C(N(c1c(cccc1CC)C)C(C)COC)CCl	Test	4.54
811	51235-04-2	O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C	Test	2.96
812	56207-39-7	O=[N+]([O-])c1ccc(c(c1(N))C)[N+](=O)[O-]	Test	5.37
813	66332-96-5	O=C(Nc1cccc(OC(C)C)c1)c2ccccc2C(F)(F)F	Test	4.83
814	68359-37-5	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Test	8.6
815	69723-94-0	O=S(=O)([O-])c1ccc[n+](c1)Cc2ccccc2	Test	2.02
816	70124-77-5	N#CC(OC(=O)C(c1ccc(OC(F)F)cc1)C(C)C)c3cccc(Oc2ccccc2)c3	Test	8.81
